filename,species_code,0:00,0:30,comments
day44_rec2_earlyApr_a7.wav,no birds,,,
day44_rec2_earlyApr_a8.wav,no birds,,,
day44_rec2_earlyApr_a28.wav,no birds,,,heavy clicks in background-- rain drops? Or a critter munching.
day44_rec2_earlyApr_b9.wav,no birds,,,heavy clicks in background-- rain drops? Or a critter munching.
day44_rec2_earlyApr_b15.wav,no birds,,,heavy clicks in background-- rain drops? Or a critter munching.
day44_rec2_earlyApr_b31.wav,no birds,,,heavy clicks in background-- rain drops? Or a critter munching.
day44_rec2_earlyApr_b47.wav,DOWO,C,C,
day44_rec2_earlyApr_b47.wav,AMRO,,C,
day44_rec2_earlyApr_b53.wav,bird sp.,C,,maybe COGR??
day44_rec2_earlyApr_c52.wav,WITU,C,,
day44_rec2_earlyApr_d21.wav,no birds,,,
day44_rec2_earlyApr_d49.wav,passerine sp.,C,C,strong feeling this is GCKI but not sure
day44_rec2_earlyApr_d27.wav,no birds,,,
day44_rec2_earlyApr_d52.wav,no birds,,,
day44_rec2_earlyApr_d54.wav,no birds,,,
day44_rec2_earlyApr_e6.wav,bird sp.,,C,
day44_rec2_earlyApr_e17.wav,no birds,,,"loud noises, but no voices"
day44_rec2_earlyApr_e25.wav,no birds,,,
day44_rec2_earlyApr_e26.wav,no birds,,,
day44_rec2_earlyApr_e27.wav,no birds,,,
day44_rec2_earlyApr_e47.wav,no birds,,,
day44_rec2_earlyApr_e52.wav,no birds,,,
day44_rec2_earlyApr_e54.wav,no birds,,,
day44_rec4_earlyApr_a6.wav,BRCR,S,S,
day44_rec4_earlyApr_a39.wav,no birds,,,
day44_rec4_earlyApr_a54.wav,passerine sp.,,C,
day44_rec4_earlyApr_a57.wav,no birds,,,
day44_rec4_earlyApr_b17.wav,AMRO,C,C,
day44_rec4_earlyApr_b20.wav,no birds,,,
day44_rec4_earlyApr_b40.wav,no birds,,,
day49_rec4_lateApr_d23.wav,bird sp.,,C,
day49_rec4_lateApr_d49.wav,WBNU,C,,
day49_rec4_lateApr_d49.wav,WIWR,S,S,
day49_rec4_lateApr_d54.wav,BRCR,S,,
day49_rec4_lateApr_e1.wav,WIWR,S,S,
day49_rec4_lateApr_e27.wav,WIWR,S,,
day49_rec4_lateApr_e36.wav,no birds,,,
day49_rec4_lateApr_e37.wav,no birds,,,
day49_rec4_lateApr_e47.wav,BCCH,C,S,
day49_rec4_lateApr_e47.wav,BRCR,S,S,
