"anon_filename","species_code","species_common_name","0:00","0:30","1:00","1:30","2:00","2:30","3:00","3:30","4:00","4:30","5:00","5:30","6:00","6:30","7:00","7:30","8:00","8:30","9:00","9:30","comments"
"f163_late_Apr","WIWR","Winter Wren",,,,,,,,,,,,,,,,,,"S",,,
"f164_late_Apr","GCKI","Golden-crowned Kinglet",,,,,,,,,,,,,,,,,"C","C",,,
"f164_late_Apr","passerine sp.","passerine sp.","C","C","C",,"C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C",
"f164_late_Apr","PIWO","Pileated Woodpecker",,,,,,,,,"C","C",,"C",,,,,,,,,
"f164_late_Apr","WIWR","Winter Wren",,"S","S","S",,,,,,,,"S","S",,,,,,"S",,
"f165_early_Apr","BRCR","Brown Creeper",,"C",,,,,,,,,,,,,,,,,,,
"f166_early_May","bird sp.","bird sp.",,,"C",,,,,,"C",,,,,,,,,,,,
"f166_early_May","BTNW","Black-throated Green Warbler",,,,,,,,,,,"S","S","S","S","S","S","S","S","S","S",
"f166_early_May","YRWA","Yellow-rumped Warbler","S",,"S","S","S","S",,"S",,,,,,,,,"S",,,,
"f167_late_Apr","BRCR","Brown Creeper",,,,,,,,,"C","S","S",,,,,,,,,,
"f167_late_Apr","CANG","Canada Goose",,,,,,,,,,"C","C","C","C",,,,,,,,
"f168_late_Apr","bird sp.","bird sp.",,,,,,,,,,"C",,,,,,,,,,,
"f168_late_Apr","GCKI","Golden-crowned Kinglet",,,,,"C","C",,,,,,,,,,,,,,,
"f168_late_Apr","passerine sp.","passerine sp.","C","C","C","C",,,,"C",,,,,,,,,,,,,
"f168_late_Apr","woodpecker sp.","woodpecker sp.",,,,,,,,,,,,,,,"D","D","D","D",,"D",
"f169_early_May","bird sp.","bird sp.","C",,,,,,,,,,,,"C",,,,,,,,
"f169_early_May","passerine sp.","passerine sp.",,,,,,,"C",,"C",,"C","C",,,"C",,"C","C","C",,
"f170_early_Apr","no birds","NA",,,,,,,,,,,,,,,,,,,,,
"f171_late_May","AMRO","American Robin","S","S","S","S","S","S","S","S","S","S","S",,,,,,,,,,
"f171_late_May","BLJA","Blue Jay",,,,,,,,,,"C","C","C","C","C",,,,,"C",,
"f171_late_May","BTNW","Black-throated Green Warbler","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S",
"f171_late_May","HETH","Hermit Thrush",,,,,"S",,,,,,,,,,,,,,,,
