"anon_filename","species_code","species_common_name","0:00","0:30","1:00","1:30","2:00","2:30","3:00","3:30","4:00","4:30","5:00","5:30","6:00","6:30","7:00","7:30","8:00","8:30","9:00","9:30","comments"
"f87_early_Apr","passerine sp.","passerine sp.",,,,,,,,,,,"C","C",,"C","C","C","C","C",,,
"f90_late_Apr","CORA","Common Raven",,,,,,,"C",,,,,,,,"C",,,,,,
"f90_late_Apr","passerine sp.","passerine sp.",,,,,,,,,,,,,,,"C",,,,,,"light chipping"
"f91_early_Apr","woodpecker sp.","woodpecker sp.",,,,,,,,,,,,,,,"D","D","D","D",,,
"f92_early_May","CORA","Common Raven",,,,,"C","C",,,,,,,,,,,,,,,
"f92_early_May","passerine sp.","passerine sp.",,,,"C",,,"C",,"C","C","C","C","C","C","C","C",,"C","C",,"either BCCH or GCKI"
"f93_early_May","passerine sp.","passerine sp.","C",,,"C",,,,,,,,,,,,,,,,,
"f93_early_May","YBSA","Yellow-bellied Sapsucker",,,,,,,,,,,,,,"D","D","D","D","D",,,
"f94_early_May","AMCR","American Crow",,"C",,,,,,,,,,,,,,,,,,,
"f94_early_May","AMRO","American Robin",,,,,,,,,,,,,,,,,,,"C","C",
"f94_early_May","BRCR","Brown Creeper",,"C","S","S","S","S","S","S","S","C","S","S","S","S","S",,,,,,
"f94_early_May","CORA","Common Raven",,,,,"C",,,"C","C",,,,,,,,,,,,
"f94_early_May","passerine sp.","passerine sp.",,,,,,,,"S","S",,"C",,,"S","C",,"C",,,"C","1) PUFI? Too faint to ID 2)high chip 3) lower, louder contact call"
"f94_early_May","YRWA","Yellow-rumped Warbler","S","S","S","S","S","S",,"S","S","S",,,,,,,,,,,
"f95_early_Apr","CORA","Common Raven",,,,,,,,,,,,,,,,,,,"C",,
"f97_early_Apr","bird sp.","bird sp.",,,,,,,,,"C","C",,,,,,,,,,,"PIWO call?"
"f97_early_Apr","CORA","Common Raven",,,,,,,,,,,,,,"C",,,,,,,
"f97_early_Apr","passerine sp.","passerine sp.",,,,,,,,,,,,,,,,,,,"C","C","chip"
"f98_late_Apr","BCCH","Black-capped Chickadee",,,,,"C","C",,,,,,,,,,,,,,,
"f98_late_Apr","bird sp.","bird sp.",,,,,,,,,,,,,,,,,,,"C",,"corvid, distant"
"f98_late_Apr","BRCR","Brown Creeper",,,,,,,,,,,,,"S",,,,"S","S","S","S",
"f98_late_Apr","NOFL","Northern Flicker",,,,,,,,,,,,,,,,,,,,"C",
"f98_late_Apr","passerine sp.","passerine sp.",,,"C",,,,,,,,,,,"S","C",,"S",,,,
"f98_late_Apr","RBNU","Red-breasted Nuthatch",,,,,,,,,,,,,,,,,"S","S",,,
"f98_late_Apr","WIWR","Winter Wren",,,,"S",,,,,,,,,,,,,,,,,
"f173_late_Apr","bird sp.","bird sp.",,,,,,,,,,,,,,,,"C",,,,,
"f174_early_Apr","no birds","NA",,,,,,,,,,,,,,,,,,,,,
"f175_late_Apr","AMRO","American Robin","S","S",,,,,,,,,,,,,,,,,,,
"f175_late_Apr","HETH","Hermit Thrush",,,,,,,,"S",,,,,,,,,,,,,
"f175_late_Apr","NOFL","Northern Flicker",,,"C",,,,,,,,,,,,,,,,,,
"f175_late_Apr","BCCH","Black-capped Chickadee",,,,,"C",,,,,,,,,,,,,,,,
"f175_late_Apr","WIWR","Winter Wren",,,,,,,,"S",,,,,,,,,,,,,
"f175_late_Apr","RBNU","Red-breasted Nuthatch","C",,,,,,,,,,,,,,,,,,,,
"f175_late_Apr","WTSP","White-throated Sparrow","C",,,,,,,,,,,,,,,,,,,,
"f175_late_Apr","YBSA","Yellow-bellied Sapsucker",,"C",,,,,,,,,,,,,,,,,,,
"f176_late_Apr","BRCR","Brown Creeper",,,,,,,,,"s",,,,,,,,,,,,
"f176_late_Apr","BCCH","Black-capped Chickadee",,,,"c",,,,,,,,,,,,,,,,,
"f176_late_Apr","PUFI","Purple Finch",,,,,,,,"s",,,,,,,,,,,,,
"f176_late_Apr","CORA","Common Raven",,,,"c",,,,,,,,,,,,,,,,,
"f177_early_May","YRWA","Yellow-rumped Warbler","s",,,,,,,,,,,,,,,,,,,,
"f177_early_May","RCKI","Ruby-crowned Kinglet","s",,,,,,,,,,,,,,,,,,,,
"f177_early_May","PUFI","Purple Finch",,,,,"s",,,,,,,,,,,,,,,,
"f177_early_May","GCKI","Golden-crowned Kinglet",,,,,,,,,"c",,,,,,,,,,,,
"f177_early_May","CORA","Common Raven",,,,,,,,,,,,,"c",,,,,,,,
"f177_early_May","woodpecker sp.","woodpecker sp.",,,,,,,,,,,,,"c",,,,,,,,
"f177_early_May","WIWR","Winter Wren",,,,,,,,,,,,,"s",,,,,,,,
"f178_early_Apr","DOWO","Downy Woodpecker",,,"c",,,,,,,,,,,,,,,,,,
"f179_late_May","OVEN","Ovenbird","s",,,,,,,,,,,,,,,,,,,,
"f179_late_May","BTNW","Black-throated Green Warbler",,,"s",,,,,,,,,,,,,,,,,,
"f179_late_May","BAWW","Black-and-white Warbler",,,,,"s",,,,,,,,,,,,,,,,
"f179_late_May","passerine sp.","passerine sp.",,,,,,"c",,,,,,,,,,,,,,,
"f179_late_May","AMRO","American Robin",,,,,,,,"s",,,,,,,,,,,,,
"f179_late_May","YRWA","Yellow-rumped Warbler",,,,,,,,,,"s",,,,,,,,,,,
"f179_late_May","BLJA","Blue Jay",,,,,,,,,,"c",,,,,,,,,,,
"f179_late_May","AMRE","American Redstart",,,,,,,,,,,,,,"s",,,,,,,
"f180_late_Apr","AMRO","American Robin","s",,,,,,,,,,,,,,,,,,,,
"f180_late_Apr","WIWR","Winter Wren",,"c",,,,,,,,,,,,,,,,,,,
"f180_late_Apr","woodpecker sp.","woodpecker sp.",,"c",,,,,,,,,,,,,,,,,,,
"f180_late_Apr","NOFL","Northern Flicker",,"c",,,,,,,,,,,,,,,,,,,
"f180_late_Apr","BRCR","Brown Creeper",,,,"c",,,,,,,,,,,,,,,,,
"f180_late_Apr","YBSA","Yellow-bellied Sapsucker",,,,,,"c",,,,,,,,,,,,,,,
"f180_late_Apr","DEJU","Dark-eyed Junco",,,,,,,"s",,,,,,,,,,,,,,
"f181_early_May","BCCH","Black-capped Chickadee",,,"c",,,,,,,,,,,,,,,,,,
"f181_early_May","WIWR","Winter Wren",,,,,,,,,,,,,"s",,,,,,,,
"f181_early_May","bird sp.","bird sp.",,,,,,,,,,,,,,,,,"c",,,,
"f182_late_Apr","passerine sp.","passerine sp.",,,,"c",,,,,,,,,,,,,,,,,
"f183_late_May","BLJA","Blue Jay",,"c",,,,,,,,,,,,,,,,,,,
"f183_late_May","OVEN","Ovenbird",,,,,,"s",,,,,,,,,,,,,,,
"f183_late_May","passerine sp.","passerine sp.",,,,,,,,,"s",,,"s",,,"s",,,"c",,,
"f184_late_Apr","BCCH","Black-capped Chickadee",,,,,,"c",,,,,,,,,,,,,,,
"f184_late_Apr","GCKI","Golden-crowned Kinglet",,,,,,,,,,,,,,,,,"c",,,,
"f184_late_Apr","passerine sp.","passerine sp.",,,,,,,,,,,,,,,,,,"c","c",,
"f185_late_Apr","woodpecker sp.","woodpecker sp.",,"d",,,,,,,,,,,,,,,,,,,
"f185_late_Apr","passerine sp.","passerine sp.",,,,,,,,,,"c",,"c",,,"c",,,,,,
"f151_early_May","GCKI","Golden-crowned Kinglet",,"C","S","S","S","C",,"C",,"C","C",,,,,"C","S","C","C",,
"f151_early_May","YRWA","Yellow-rumped Warbler",,,"S","S","S","S","S",,,,,,,,,,,,,"S",
"f151_early_May","BRCR","Brown Creeper",,,,"S","S",,,,,"S","S","S","S","S","S","S","S","S","S","S",
"f151_early_May","WIWR","Winter Wren",,,,,,,,,,,,,,,,,,"S",,,
